"company","Company_Status","location","location_Status","industry","Industry_Status","total_laid_off","layoffs_Status","percentage_laid_off","Percentage_Status","date","Date_Status","year","Year_Status","Month","Month_Status","stage","country","funds_raised_millions","Funds_Status"
"AIRLIFT","Reported","LAHORE","Reported","LOGISTICS","Reported","0","missing","0.31","Reported","2022-05-25","Reported","2022","Reported","5","Reported","SERIES B","PAKISTAN","109.00","Reported"
"AIRLIFT","Reported","LAHORE","Reported","LOGISTICS","Reported","0","missing","1.00","Reported","2022-07-12","Reported","2022","Reported","7","Reported","SERIES B","PAKISTAN","109.00","Reported"
"AIRMAP","Reported","LOS ANGELES","Reported","AEROSPACE","Reported","0","missing","0.00","missing","2020-04-30","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","75.00","Reported"
"AIRTABLE","Reported","SF BAY AREA","Reported","PRODUCT","Reported","254","Reported","0.20","Reported","2022-12-08","Reported","2022","Reported","12","Reported","SERIES F","UNITED STATES","1400.00","Reported"
"AIRTAME","Reported","COPENHAGEN","Reported","CONSUMER","Reported","15","Reported","0.00","missing","2022-06-15","Reported","2022","Reported","6","Reported","UNKNOWN","DENMARK","7.00","Reported"
"AIRTASKER","Reported","SYDNEY","Reported","CONSUMER","Reported","0","missing","0.00","missing","2022-07-04","Reported","2022","Reported","7","Reported","SERIES C","AUSTRALIA","26.00","Reported"
"AIRTIME","Reported","NEW YORK CITY","Reported","CONSUMER","Reported","30","Reported","0.20","Reported","2022-05-23","Reported","2022","Reported","5","Reported","SERIES B","UNITED STATES","33.00","Reported"
"AIRY ROOMS","Reported","JAKARTA","Reported","TRAVEL","Reported","0","missing","0.70","Reported","2020-04-22","Reported","2020","Reported","4","Reported","UNKNOWN","INDONESIA","0.00","missing"
"AIRY ROOMS","Reported","JAKARTA","Reported","TRAVEL","Reported","0","missing","1.00","Reported","2020-05-07","Reported","2020","Reported","5","Reported","UNKNOWN","INDONESIA","0.00","missing"
"AIVEN","Reported","HELSINKI","Reported","INFRASTRUCTURE","Reported","0","missing","0.20","Reported","2023-01-18","Reported","2023","Reported","1","Reported","SERIES D","FINLAND","420.00","Reported"
"AJAIB","Reported","JAKARTA","Reported","FINANCE","Reported","67","Reported","0.08","Reported","2022-11-28","Reported","2022","Reported","11","Reported","UNKNOWN","INDONESIA","245.00","Reported"
